time-5,time-4,time-3,time-2,time-1,time
543.0,203.2,218.9,101.4,2.0,0.0
255.6,111.7,31.6,33.8,23.2,9.5
46.1,0.2,43.0,156.0,218.6,201.2
448.0,160.6,225.1,8.3,21.2,2.8
0.0,0.0,33.4,113.0,66.5,232.8
360.9,250.0,23.8,279.4,88.4,5.1
257.4,212.0,64.1,426.2,62.0,35.4
65.6,1.2,1.0,0.0,38.6,116.0
72.2,16.8,23.6,26.1,55.4,57.4
126.0,258.7,147.7,28.1,89.9,1.2
31.4,6.2,71.4,59.4,123.4,271.3
271.3,114.0,120.0,115.0,68.4,92.6
229.0,250.5,282.0,70.6,117.2,41.4
43.0,4.7,24.5,20.2,115.0,291.5
92.6,0.6,34.8,42.6,71.4,91.4
246.0,215.8,140.8,127.4,54.6,6.0
179.0,109.2,56.6,20.6,4.0,0.0
1.0,0.0,38.6,116.0,192.0,442.1
11.6,0.0,4.9,8.7,32.3,168.0
56.6,20.6,4.0,0.0,91.9,57.4
273.8,23.8,198.3,10.0,3.5,0.0
35.4,72.2,0.0,4.5,15.2,111.0
232.8,267.9,448.0,160.6,225.1,8.3
131.6,194.0,274.9,134.2,62.7,28.0
184.0,193.6,413.6,172.0,68.6,101.2
147.6,8.8,82.6,0.0,13.2,45.0
426.2,62.0,35.4,72.2,0.0,4.5
413.6,172.0,68.6,101.2,109.7,46.6
56.1,49.7,87.3,2.7,108.9,0.6
269.4,345.0,255.5,106.0,72.2,16.8
66.8,108.0,81.0,372.0,254.0,175.3
31.6,33.8,23.2,9.5,0.0,53.2
44.0,179.0,136.0,507.2,238.4,346.5
421.0,211.9,273.8,23.8,198.3,10.0
28.6,2.0,2.0,3.3,42.8,66.8
34.8,42.6,71.4,91.4,181.4,97.0
225.1,8.3,21.2,2.8,0.0,2.0
91.9,57.4,169.0,402.3,138.0,255.6
81.8,71.3,73.0,166.0,235.6,349.6
144.0,230.0,131.6,194.0,274.9,134.2
0.0,42.0,128.0,51.2,273.2,207.3
49.7,87.3,2.7,108.9,0.6,0.0
88.4,5.1,7.4,0.0,42.0,128.0
196.0,105.0,166.4,360.9,250.0,23.8
32.3,168.0,265.1,302.7,393.0,283.7
2.7,108.9,0.6,0.0,48.9,131.0
115.2,26.1,0.6,28.4,0.0,0.0
205.0,380.3,204.2,80.4,86.0,0.0
33.2,43.0,4.7,24.5,20.2,115.0
127.4,316.8,200.0,339.5,124.8,64.6
0.0,7.4,0.0,46.6,190.0,101.5
172.0,68.6,101.2,109.7,46.6,0.0
45.2,0.0,40.5,31.4,6.2,71.4
134.2,62.7,28.0,54.0,0.0,21.6
60.7,76.0,262.6,392.0,126.0,258.7
215.8,140.8,127.4,54.6,6.0,369.0
369.0,184.0,193.6,413.6,172.0,68.6
42.6,71.4,91.4,181.4,97.0,543.0
124.8,64.6,65.6,1.2,1.0,0.0
509.2,205.0,135.5,179.0,109.2,56.6
90.5,363.2,252.7,383.3,114.5,96.5
146.0,127.4,316.8,200.0,339.5,124.8
101.4,2.0,0.0,7.4,0.0,46.6
23.2,9.5,0.0,53.2,181.0,153.8
179.0,136.0,507.2,238.4,346.5,246.0
0.0,81.8,71.3,73.0,166.0,235.6
24.5,20.2,115.0,291.5,269.4,345.0
68.6,101.2,109.7,46.6,0.0,0.0
253.2,230.6,352.0,187.6,343.2,23.0
190.0,101.5,214.9,718.0,144.0,237.8
0.0,91.9,57.4,169.0,402.3,138.0
111.0,71.9,324.5,173.0,268.6,47.2
23.6,26.1,55.4,57.4,144.0,222.8
237.1,224.2,24.4,11.6,0.0,4.9
255.5,106.0,72.2,16.8,23.6,26.1
